acct_nbr,acct_nm,level_1,level_2,level_3,level_4
3922-00,Rev Unloading/Harbor,Total Operating Revenue,Other Revenue,Non-Operating Revenue,Non-Operating Revenue
3911-00,Parts Sales,Total Operating Revenue,Other Revenue,Equipment Maintenance Revenue,Equipment Maintenance Revenue
3912-00,Tire Sales,Total Operating Revenue,Other Revenue,Equipment Maintenance Revenue,Equipment Maintenance Revenue
3913-00,Sublet Sales,Total Operating Revenue,Other Revenue,Equipment Maintenance Revenue,Equipment Maintenance Revenue
3914-00,Consumables Sales,Total Operating Revenue,Other Revenue,Equipment Maintenance Revenue,Equipment Maintenance Revenue
3915-00,Labor Sales,Total Operating Revenue,Other Revenue,Equipment Maintenance Revenue,Equipment Maintenance Revenue
4220-00,Driver Wages,Total Variable Operating Expense,"Driver Salaries, Wages and Benefits",Driver Salaries & Wages,Driver Wages Mileage & Hourly
4220-01,Driver Wages - Mileage Pay,Total Variable Operating Expense,"Driver Salaries, Wages and Benefits",Driver Salaries & Wages,Driver Wages Mileage & Hourly
4220-02,Driver Wages - Hourly Pay,Total Variable Operating Expense,"Driver Salaries, Wages and Benefits",Driver Salaries & Wages,Driver Wages Mileage & Hourly
4220-04,Driver Wages - Salary Pay,Total Variable Operating Expense,"Driver Salaries, Wages and Benefits",Driver Salaries & Wages,Driver Wages Mileage & Hourly
4220-50,Driver Wages In-Transit,Total Variable Operating Expense,"Driver Salaries, Wages and Benefits",Driver Salaries & Wages,Driver Wages Mileage & Hourly
4221-00,Driver Per Diem,Total Variable Operating Expense,"Driver Salaries, Wages and Benefits",Driver Salaries & Wages,Driver Wages Mileage & Hourly
4220-05,Driver Wages - Vacation Pay,Total Variable Operating Expense,"Driver Salaries, Wages and Benefits",Driver Salaries & Wages,Driver Wages Accessorial & Other
4220-06,Driver Wages - Unloading Pay,Total Variable Operating Expense,"Driver Salaries, Wages and Benefits",Driver Salaries & Wages,Driver Wages Accessorial & Other
4220-07,Driver Wages - Wait Pay,Total Variable Operating Expense,"Driver Salaries, Wages and Benefits",Driver Salaries & Wages,Driver Wages Accessorial & Other
4220-08,Driver Wages - Exception Pay,Total Variable Operating Expense,"Driver Salaries, Wages and Benefits",Driver Salaries & Wages,Driver Wages Accessorial & Other
4220-09,Driver Wages - Breakdown Pay,Total Variable Operating Expense,"Driver Salaries, Wages and Benefits",Driver Salaries & Wages,Driver Wages Accessorial & Other
4220-10,Driver Wages - Short Haul Pay,Total Variable Operating Expense,"Driver Salaries, Wages and Benefits",Driver Salaries & Wages,Driver Wages Accessorial & Other
4220-11,Driver Wages - Guarantee Pay,Total Variable Operating Expense,"Driver Salaries, Wages and Benefits",Driver Salaries & Wages,Driver Wages Accessorial & Other
4220-12,Driver Wages - Layover Pay,Total Variable Operating Expense,"Driver Salaries, Wages and Benefits",Driver Salaries & Wages,Driver Wages Accessorial & Other
4220-13,Driver Wages - Stop Pay,Total Variable Operating Expense,"Driver Salaries, Wages and Benefits",Driver Salaries & Wages,Driver Wages Accessorial & Other
4220-14,Driver Wages - Sick Pay,Total Variable Operating Expense,"Driver Salaries, Wages and Benefits",Driver Salaries & Wages,Driver Wages Accessorial & Other
4220-15,Driver Wages - Compliance Pay,Total Variable Operating Expense,"Driver Salaries, Wages and Benefits",Driver Salaries & Wages,Driver Wages Accessorial & Other
4220-16,Driver Wages - Rest Pay,Total Variable Operating Expense,"Driver Salaries, Wages and Benefits",Driver Salaries & Wages,Driver Wages Accessorial & Other
4220-17,Driver Wages - Premium Pay,Total Variable Operating Expense,"Driver Salaries, Wages and Benefits",Driver Salaries & Wages,Driver Wages Accessorial & Other
4220-20,Driver Wages - New Trl Pick Up,Total Variable Operating Expense,"Driver Salaries, Wages and Benefits",Driver Salaries & Wages,Driver Wages Accessorial & Other
4220-30,Driver Wages - Performance Pay,Total Variable Operating Expense,"Driver Salaries, Wages and Benefits",Driver Salaries & Wages,Driver Wages Accessorial & Other
4220-31,Driver Loyalty Bonus,Total Variable Operating Expense,"Driver Salaries, Wages and Benefits",Driver Salaries & Wages,Driver Wages Accessorial & Other
4220-32,Driver Bonuses,Total Variable Operating Expense,"Driver Salaries, Wages and Benefits",Driver Salaries & Wages,Driver Wages Accessorial & Other
4230-00,Cargo Handlers.1,Total Variable Operating Expense,"Driver Salaries, Wages and Benefits",Driver Salaries & Wages,Driver Wages Accessorial & Other
4250-00,Owner-Operator Drivers,Total Variable Operating Expense,"Driver Salaries, Wages and Benefits",Driver Salaries & Wages,Driver Wages Accessorial & Other
4300-01,Misc Paid Time Off,Total Variable Operating Expense,"Driver Salaries, Wages and Benefits",Driver Salaries & Wages,Driver Wages Accessorial & Other
4320-00,Drivers & Helpers,Total Variable Operating Expense,"Driver Salaries, Wages and Benefits",Driver Salaries & Wages,Driver Wages Accessorial & Other
4330-00,Cargo Handlers.2,Total Variable Operating Expense,"Driver Salaries, Wages and Benefits",Driver Salaries & Wages,Driver Wages Accessorial & Other
4390-00,Other Labor.2,Total Variable Operating Expense,"Driver Salaries, Wages and Benefits",Driver Salaries & Wages,Driver Wages Accessorial & Other
4400-00,Other Fringes.1,Total Variable Operating Expense,"Driver Salaries, Wages and Benefits",Driver Salaries & Wages,Driver Wages Accessorial & Other
4564-10,Driver Sign-on Bonus,Total Variable Operating Expense,"Driver Salaries, Wages and Benefits",Driver Salaries & Wages,Driver Wages Accessorial & Other
4220-03,Driver Wages - Trainee Pay,Total Variable Operating Expense,"Driver Salaries, Wages and Benefits",Driver Salaries & Wages,Driver Wages Trainee Pay
4410-00,Federal Payroll Taxes.1,Total Variable Operating Expense,"Driver Salaries, Wages and Benefits",Driver Benefits,Payroll Taxes Drv
4410-10,Drv Benefits - New Trl Pick Up,Total Variable Operating Expense,"Driver Salaries, Wages and Benefits",Driver Benefits,Payroll Taxes Drv
4420-00,State Payroll Taxes.1,Total Variable Operating Expense,"Driver Salaries, Wages and Benefits",Driver Benefits,Payroll Taxes Drv
4440-00,Group Health Insurance.2,Total Variable Operating Expense,"Driver Salaries, Wages and Benefits",Driver Benefits,Group Health Insurance Drv
4450-00,Pension & Retirement Plans.1,Total Variable Operating Expense,"Driver Salaries, Wages and Benefits",Driver Benefits,Pension & Retirement Drv
4460-00,Health Welfare & Pensions,Total Variable Operating Expense,"Driver Salaries, Wages and Benefits",Driver Benefits,Pension & Retirement Drv
4992-00,Purchase Trans GAB Allowance,Total Variable Operating Expense,Purchased Transportation,Purchased Trans (xFuel Reimb),O/O Pay
5411-00,Purchased Transportation -,Total Variable Operating Expense,Purchased Transportation,Purchased Trans (xFuel Reimb),O/O Pay
5411-05,Logistics PT Discounts,Total Variable Operating Expense,Purchased Transportation,Purchased Trans (xFuel Reimb),O/O Pay
5411-50,Purch Trans In-Transit,Total Variable Operating Expense,Purchased Transportation,Purchased Trans (xFuel Reimb),O/O Pay
5413-00,Owner Operator W/C Ins,Total Variable Operating Expense,Purchased Transportation,Purchased Trans (xFuel Reimb),O/O Pay
5440-00,Other Purchased Transportation,Total Variable Operating Expense,Purchased Transportation,Purchased Trans (xFuel Reimb),O/O Pay
5411-02,Purchased Trans - Rail,Total Variable Operating Expense,Purchased Transportation,Purchased Trans (xFuel Reimb),Rail PT
5450-00,Purchased Trans - Rail Fuel,Total Variable Operating Expense,Purchased Transportation,Purchased Trans (xFuel Reimb),Rail PT
5411-04,Purchased Trans - Other,Total Variable Operating Expense,Purchased Transportation,Purchased Trans (xFuel Reimb),Third Party Brokerage
5412-00,Purchased Trans - Drivers,Total Variable Operating Expense,Purchased Transportation,Purchased Trans (xFuel Reimb),Third Party Brokerage
5411-03,Transfer Pricing Adjustment,Total Variable Operating Expense,Purchased Transportation,Purchased Trans (xFuel Reimb),Transfer Pricing Adj
5411-01,Purchased Trans - FSC Reimb,Total Variable Operating Expense,Purchased Transportation,PT Fuel Reimbursements,PT Fuel Reimbursements
5411-06,OO PT Fuel Credit,Total Variable Operating Expense,Purchased Transportation,PT Fuel Reimbursements,PT Fuel Reimbursements
4510-00,Fuel -,Total Variable Operating Expense,Fuel Expense,Fuel Expense,Fuel Expense
4510-01,Fuel - Idle,Total Variable Operating Expense,Fuel Expense,Fuel Expense,Fuel Expense
4510-02,Fuel Rebates,Total Variable Operating Expense,Fuel Expense,Fuel Expense,Fuel Expense
4510-10,Fuel Expense - New Trl Pick Up,Total Variable Operating Expense,Fuel Expense,Fuel Expense,Fuel Expense
4511-00,Fuel - Refrigerated,Total Variable Operating Expense,Fuel Expense,Fuel Expense,Fuel Expense
4512-00,Fuel Discounts,Total Variable Operating Expense,Fuel Expense,Fuel Expense,Fuel Expense
4513-00,Fuel & Oil Yard Equip,Total Variable Operating Expense,Fuel Expense,Fuel Expense,Fuel Expense
4514-00,Fuel Hedge - Vendor,Total Variable Operating Expense,Fuel Expense,Fuel Expense,Fuel Expense
4515-00,Diesel Exhaust Fluid,Total Variable Operating Expense,Fuel Expense,Fuel Expense,Fuel Expense
4515-01,Diesel Exhaust Fluid - Bulk,Total Variable Operating Expense,Fuel Expense,Fuel Expense,Fuel Expense
4515-02,Diesel Exhaust Fluid - Trk Sto,Total Variable Operating Expense,Fuel Expense,Fuel Expense,Fuel Expense
4516-00,Compressed Natural Gas,Total Variable Operating Expense,Fuel Expense,Fuel Expense,Fuel Expense
4520-00,"Oil, Lub & Coolants - Motor Ve",Total Variable Operating Expense,Fuel Expense,Fuel Expense,Fuel Expense
4560-04,Road Expenses - Tolls,Total Variable Operating Expense,Other Ops Variable Expense,Tolls Expense,Tolls Expense
4560-05,Road Exp - Tolls Penalties/Fee,Total Variable Operating Expense,Other Ops Variable Expense,Tolls Expense,Tolls Expense
4560-06,Road Expenses - Tolls Prepass,Total Variable Operating Expense,Other Ops Variable Expense,Tolls Expense,Tolls Expense
4560-00,Road Expenses,Total Variable Operating Expense,Other Ops Variable Expense,Road Expense,Road Expense
4560-01,Road Expenses - Motel,Total Variable Operating Expense,Other Ops Variable Expense,Road Expense,Road Expense
4560-02,Road Expenses - Phones,Total Variable Operating Expense,Other Ops Variable Expense,Road Expense,Road Expense
4560-03,Road Expenses - Scales,Total Variable Operating Expense,Other Ops Variable Expense,Road Expense,Road Expense
4560-50,Other Op Supplies In-Transit,Total Variable Operating Expense,Other Ops Variable Expense,Road Expense,Road Expense
4506-00,Power Detention.2,Total Variable Operating Expense,Other Ops Variable Expense,Other Variable Expenses,Other Variable Expenses
4565-00,Load Tie Down & Protection,Total Variable Operating Expense,Other Ops Variable Expense,Other Variable Expenses,Other Variable Expenses
4566-00,Tractor Accessories,Total Variable Operating Expense,Other Ops Variable Expense,Other Variable Expenses,Other Variable Expenses
4567-00,Trailer Spottings,Total Variable Operating Expense,Other Ops Variable Expense,Other Variable Expenses,Other Variable Expenses
4568-00,Operations Chargeback,Total Variable Operating Expense,Other Ops Variable Expense,Other Variable Expenses,Other Variable Expenses
4569-00,Dunnage,Total Variable Operating Expense,Other Ops Variable Expense,Other Variable Expenses,Other Variable Expenses
4570-00,Pallets,Total Variable Operating Expense,Other Ops Variable Expense,Other Variable Expenses,Other Variable Expenses
4570-01,Trailer Detention Expense,Total Variable Operating Expense,Other Ops Variable Expense,Other Variable Expenses,Other Variable Expenses
4571-00,Trans Loading,Total Variable Operating Expense,Other Ops Variable Expense,Other Variable Expenses,Other Variable Expenses
4572-00,Unloading,Total Variable Operating Expense,Other Ops Variable Expense,Other Variable Expenses,Other Variable Expenses
4573-00,Cotton Unloading,Total Variable Operating Expense,Other Ops Variable Expense,Other Variable Expenses,Other Variable Expenses
4574-00,Drayage.2,Total Variable Operating Expense,Other Ops Variable Expense,Other Variable Expenses,Other Variable Expenses
4578-00,Trailer Washout,Total Variable Operating Expense,Other Ops Variable Expense,Other Variable Expenses,Other Variable Expenses
4579-00,Demurrage,Total Variable Operating Expense,Other Ops Variable Expense,Other Variable Expenses,Other Variable Expenses
4991-00,Truck Fumigation & Cleaning,Total Variable Operating Expense,Other Ops Variable Expense,Other Variable Expenses,Other Variable Expenses
