acct_nbr,acct_nm,level_1,level_2,level_3,level_4
4582-00,Shop Tools Expense,Total Fixed Operating Expense,Other Operating Supplies (Overhead),Other Operating Supplies (Overhead),Other Operating Supplies (Overhead)
4583-00,Forklift Fuel,Total Fixed Operating Expense,Other Operating Supplies (Overhead),Other Operating Supplies (Overhead),Other Operating Supplies (Overhead)
4584-00,Repair & Maint Forklift,Total Fixed Operating Expense,Other Operating Supplies (Overhead),Other Operating Supplies (Overhead),Other Operating Supplies (Overhead)
4585-00,Debt-free Tuition Payment,Total Fixed Operating Expense,Other Operating Supplies (Overhead),Other Operating Supplies (Overhead),Other Operating Supplies (Overhead)
4585-01,Debt-free Tuition Reimburse,Total Fixed Operating Expense,Other Operating Supplies (Overhead),Other Operating Supplies (Overhead),Other Operating Supplies (Overhead)
4585-02,SNHU Laptop Credit,Total Fixed Operating Expense,Other Operating Supplies (Overhead),Other Operating Supplies (Overhead),Other Operating Supplies (Overhead)
4585-03,SNHU Data Monthly,Total Fixed Operating Expense,Other Operating Supplies (Overhead),Other Operating Supplies (Overhead),Other Operating Supplies (Overhead)
4589-00,Shop Allocation,Total Fixed Operating Expense,Other Operating Supplies (Overhead),Other Operating Supplies (Overhead),Other Operating Supplies (Overhead)
4590-00,Other Op Supplies & Exp,Total Fixed Operating Expense,Other Operating Supplies (Overhead),Other Operating Supplies (Overhead),Other Operating Supplies (Overhead)
4590-01,Temporary Labor,Total Fixed Operating Expense,Other Operating Supplies (Overhead),Other Operating Supplies (Overhead),Other Operating Supplies (Overhead)
4593-00,Company Store - Purchases,Total Fixed Operating Expense,Other Operating Supplies (Overhead),Other Operating Supplies (Overhead),Other Operating Supplies (Overhead)
4597-00,Promotional Expenses,Total Fixed Operating Expense,Other Operating Supplies (Overhead),Other Operating Supplies (Overhead),Other Operating Supplies (Overhead)
4598-00,Promotional Deductions,Total Fixed Operating Expense,Other Operating Supplies (Overhead),Other Operating Supplies (Overhead),Other Operating Supplies (Overhead)
4599-00,Moving Facilities Expense,Total Fixed Operating Expense,Other Operating Supplies (Overhead),Other Operating Supplies (Overhead),Other Operating Supplies (Overhead)
4600-00,General Supplies & Expenses,Total Fixed Operating Expense,Other Operating Supplies (Overhead),Other Operating Supplies (Overhead),Other Operating Supplies (Overhead)
4610-00,Office Supplies,Total Fixed Operating Expense,Other Operating Supplies (Overhead),Other Operating Supplies (Overhead),Other Operating Supplies (Overhead)
4611-00,Postage,Total Fixed Operating Expense,Other Operating Supplies (Overhead),Other Operating Supplies (Overhead),Other Operating Supplies (Overhead)
4612-00,Outsourced Corporate Services,Total Fixed Operating Expense,Other Operating Supplies (Overhead),Other Operating Supplies (Overhead),Other Operating Supplies (Overhead)
4620-00,Tariffs & Schedules,Total Fixed Operating Expense,Other Operating Supplies (Overhead),Other Operating Supplies (Overhead),Other Operating Supplies (Overhead)
4622-00,Gas for Cars,Total Fixed Operating Expense,Other Operating Supplies (Overhead),Other Operating Supplies (Overhead),Other Operating Supplies (Overhead)
4623-00,Business Entertainment,Total Fixed Operating Expense,Other Operating Supplies (Overhead),Other Operating Supplies (Overhead),Other Operating Supplies (Overhead)
4623-01,Business Entertainment Suites,Total Fixed Operating Expense,Other Operating Supplies (Overhead),Other Operating Supplies (Overhead),Other Operating Supplies (Overhead)
4624-00,Dues & Subscriptions,Total Fixed Operating Expense,Other Operating Supplies (Overhead),Other Operating Supplies (Overhead),Other Operating Supplies (Overhead)
4624-01,Non-Deductible Dues,Total Fixed Operating Expense,Other Operating Supplies (Overhead),Other Operating Supplies (Overhead),Other Operating Supplies (Overhead)
4625-00,Management Meetings,Total Fixed Operating Expense,Other Operating Supplies (Overhead),Other Operating Supplies (Overhead),Other Operating Supplies (Overhead)
4625-01,Annual Meeting,Total Fixed Operating Expense,Other Operating Supplies (Overhead),Other Operating Supplies (Overhead),Other Operating Supplies (Overhead)
4625-02,Diamond Driver Meeting,Total Fixed Operating Expense,Other Operating Supplies (Overhead),Other Operating Supplies (Overhead),Other Operating Supplies (Overhead)
4626-00,Repairs & Maint Co Veh.1,Total Fixed Operating Expense,Other Operating Supplies (Overhead),Other Operating Supplies (Overhead),Other Operating Supplies (Overhead)
4626-01,Repairs & Maint Co Veh.2,Total Fixed Operating Expense,Other Operating Supplies (Overhead),Other Operating Supplies (Overhead),Other Operating Supplies (Overhead)
4627-00,Maintenance - Office Equip,Total Fixed Operating Expense,Other Operating Supplies (Overhead),Other Operating Supplies (Overhead),Other Operating Supplies (Overhead)
4628-00,Travel,Total Fixed Operating Expense,Other Operating Supplies (Overhead),Other Operating Supplies (Overhead),Other Operating Supplies (Overhead)
4628-01,Travel & Entertainment (Meals),Total Fixed Operating Expense,Other Operating Supplies (Overhead),Other Operating Supplies (Overhead),Other Operating Supplies (Overhead)
4629-00,Security Services,Total Fixed Operating Expense,Other Operating Supplies (Overhead),Other Operating Supplies (Overhead),Other Operating Supplies (Overhead)
4629-60,Font V Blvd-Security Services,Total Fixed Operating Expense,Other Operating Supplies (Overhead),Other Operating Supplies (Overhead),Other Operating Supplies (Overhead)
4630-00,Advertising,Total Fixed Operating Expense,Other Operating Supplies (Overhead),Other Operating Supplies (Overhead),Other Operating Supplies (Overhead)
4631-00,Car Allowance,Total Fixed Operating Expense,Other Operating Supplies (Overhead),Other Operating Supplies (Overhead),Other Operating Supplies (Overhead)
4632-00,Computer Expense,Total Fixed Operating Expense,Other Operating Supplies (Overhead),Other Operating Supplies (Overhead),Other Operating Supplies (Overhead)
4632-01,Computer Expense - ERP,Total Fixed Operating Expense,Other Operating Supplies (Overhead),Other Operating Supplies (Overhead),Other Operating Supplies (Overhead)
4633-00,License & Registration,Total Fixed Operating Expense,Other Operating Supplies (Overhead),Other Operating Supplies (Overhead),Other Operating Supplies (Overhead)
4634-00,Service Awards,Total Fixed Operating Expense,Other Operating Supplies (Overhead),Other Operating Supplies (Overhead),Other Operating Supplies (Overhead)
4634-01,Service Awards for Drivers,Total Fixed Operating Expense,Other Operating Supplies (Overhead),Other Operating Supplies (Overhead),Other Operating Supplies (Overhead)
4635-00,Business Permits & Licenses,Total Fixed Operating Expense,Other Operating Supplies (Overhead),Other Operating Supplies (Overhead),Other Operating Supplies (Overhead)
4635-01,Business Permits&Licenses-Exam Fees,Total Fixed Operating Expense,Other Operating Supplies (Overhead),Other Operating Supplies (Overhead),Other Operating Supplies (Overhead)
4636-00,Bank Charges,Total Fixed Operating Expense,Other Operating Supplies (Overhead),Other Operating Supplies (Overhead),Other Operating Supplies (Overhead)
4636-01,Bank Charges-PowerTrack,Total Fixed Operating Expense,Other Operating Supplies (Overhead),Other Operating Supplies (Overhead),Other Operating Supplies (Overhead)
4636-02,Bank Charges-Credit Card Processing,Total Fixed Operating Expense,Other Operating Supplies (Overhead),Other Operating Supplies (Overhead),Other Operating Supplies (Overhead)
4636-03,Bank Fees Tax Exempt Investments,Total Fixed Operating Expense,Other Operating Supplies (Overhead),Other Operating Supplies (Overhead),Other Operating Supplies (Overhead)
4637-00,Fines & Citations,Total Fixed Operating Expense,Other Operating Supplies (Overhead),Other Operating Supplies (Overhead),Other Operating Supplies (Overhead)
4638-00,Charitable Contributions,Total Fixed Operating Expense,Other Operating Supplies (Overhead),Other Operating Supplies (Overhead),Other Operating Supplies (Overhead)
4640-00,Commissions Agent Fees,Total Fixed Operating Expense,Other Operating Supplies (Overhead),Other Operating Supplies (Overhead),Other Operating Supplies (Overhead)
4640-01,Sale Specials - Owner Operator,Total Fixed Operating Expense,Other Operating Supplies (Overhead),Other Operating Supplies (Overhead),Other Operating Supplies (Overhead)
4645-00,Brokerage Fees,Total Fixed Operating Expense,Other Operating Supplies (Overhead),Other Operating Supplies (Overhead),Other Operating Supplies (Overhead)
4650-00,Solicitation Comm/Outside Fee,Total Fixed Operating Expense,Other Operating Supplies (Overhead),Other Operating Supplies (Overhead),Other Operating Supplies (Overhead)
4660-00,Officers & Supr Personnel Exp,Total Fixed Operating Expense,Other Operating Supplies (Overhead),Other Operating Supplies (Overhead),Other Operating Supplies (Overhead)
4665-00,Employee Rewards & Recognition,Total Fixed Operating Expense,Other Operating Supplies (Overhead),Other Operating Supplies (Overhead),Other Operating Supplies (Overhead)
4665-01,Driver Rewards & Recognition,Total Fixed Operating Expense,Other Operating Supplies (Overhead),Other Operating Supplies (Overhead),Other Operating Supplies (Overhead)
4670-00,Other Employees Expenses,Total Fixed Operating Expense,Other Operating Supplies (Overhead),Other Operating Supplies (Overhead),Other Operating Supplies (Overhead)
4670-01,Relocation,Total Fixed Operating Expense,Other Operating Supplies (Overhead),Other Operating Supplies (Overhead),Other Operating Supplies (Overhead)
4680-00,Waste Management,Total Fixed Operating Expense,Other Operating Supplies (Overhead),Other Operating Supplies (Overhead),Other Operating Supplies (Overhead)
4690-00,Other General Spl & Exp,Total Fixed Operating Expense,Other Operating Supplies (Overhead),Other Operating Supplies (Overhead),Other Operating Supplies (Overhead)
4691-00,Discounts.1,Total Fixed Operating Expense,Other Operating Supplies (Overhead),Other Operating Supplies (Overhead),Other Operating Supplies (Overhead)
4699-00,Donations,Total Fixed Operating Expense,Other Operating Supplies (Overhead),Other Operating Supplies (Overhead),Other Operating Supplies (Overhead)
4699-01,Political Contributions,Total Fixed Operating Expense,Other Operating Supplies (Overhead),Other Operating Supplies (Overhead),Other Operating Supplies (Overhead)
4699-02,Swift Charities,Total Fixed Operating Expense,Other Operating Supplies (Overhead),Other Operating Supplies (Overhead),Other Operating Supplies (Overhead)
4900-00,Admin Fee Exp,Total Fixed Operating Expense,Other Operating Supplies (Overhead),Other Operating Supplies (Overhead),Other Operating Supplies (Overhead)
4900-01,Carrier Fee Exp,Total Fixed Operating Expense,Other Operating Supplies (Overhead),Other Operating Supplies (Overhead),Other Operating Supplies (Overhead)
4905-00,TMS Fee,Total Fixed Operating Expense,Other Operating Supplies (Overhead),Other Operating Supplies (Overhead),Other Operating Supplies (Overhead)
4995-00,Operating Exp GAB Allowance,Total Fixed Operating Expense,Other Operating Supplies (Overhead),Other Operating Supplies (Overhead),Other Operating Supplies (Overhead)
5130-00,Postage & Freight,Total Fixed Operating Expense,Other Operating Supplies (Overhead),Other Operating Supplies (Overhead),Other Operating Supplies (Overhead)
5900-00,Miscellaneous Expenses,Total Fixed Operating Expense,Other Operating Supplies (Overhead),Other Operating Supplies (Overhead),Other Operating Supplies (Overhead)
5910-00,Data Processing,Total Fixed Operating Expense,Other Operating Supplies (Overhead),Other Operating Supplies (Overhead),Other Operating Supplies (Overhead)
5911-00,Computer Costs,Total Fixed Operating Expense,Other Operating Supplies (Overhead),Other Operating Supplies (Overhead),Other Operating Supplies (Overhead)
5920-00,Management Fees,Total Fixed Operating Expense,Other Operating Supplies (Overhead),Other Operating Supplies (Overhead),Other Operating Supplies (Overhead)
5930-00,Accounting Fees,Total Fixed Operating Expense,Other Operating Supplies (Overhead),Other Operating Supplies (Overhead),Other Operating Supplies (Overhead)
5931-00,Professional Fees - Legal,Total Fixed Operating Expense,Other Operating Supplies (Overhead),Other Operating Supplies (Overhead),Other Operating Supplies (Overhead)
5931-01,Professional Fees - Legal Costs,Total Fixed Operating Expense,Other Operating Supplies (Overhead),Other Operating Supplies (Overhead),Other Operating Supplies (Overhead)
5931-02,Professional Fees - Legal Travel,Total Fixed Operating Expense,Other Operating Supplies (Overhead),Other Operating Supplies (Overhead),Other Operating Supplies (Overhead)
5931-10,Legal Settlement,Total Fixed Operating Expense,Other Operating Supplies (Overhead),Other Operating Supplies (Overhead),Other Operating Supplies (Overhead)
5932-00,Professional Fees - Accounting,Total Fixed Operating Expense,Other Operating Supplies (Overhead),Other Operating Supplies (Overhead),Other Operating Supplies (Overhead)
5932-01,Professional Fees - BOD,Total Fixed Operating Expense,Other Operating Supplies (Overhead),Other Operating Supplies (Overhead),Other Operating Supplies (Overhead)
5933-00,Prof Fees - Consult,Total Fixed Operating Expense,Other Operating Supplies (Overhead),Other Operating Supplies (Overhead),Other Operating Supplies (Overhead)
5933-01,Prof Fees - Consult MSCA,Total Fixed Operating Expense,Other Operating Supplies (Overhead),Other Operating Supplies (Overhead),Other Operating Supplies (Overhead)
5933-02,Network Ops Center,Total Fixed Operating Expense,Other Operating Supplies (Overhead),Other Operating Supplies (Overhead),Other Operating Supplies (Overhead)
5933-63,Professional Fees - Consulting,Total Fixed Operating Expense,Other Operating Supplies (Overhead),Other Operating Supplies (Overhead),Other Operating Supplies (Overhead)
5934-00,401K Administrative Fees,Total Fixed Operating Expense,Other Operating Supplies (Overhead),Other Operating Supplies (Overhead),Other Operating Supplies (Overhead)
5935-00,Financial Advisory Fees,Total Fixed Operating Expense,Other Operating Supplies (Overhead),Other Operating Supplies (Overhead),Other Operating Supplies (Overhead)
5936-00,IEL Shared Services - Tractor Acquisition,Total Fixed Operating Expense,Other Operating Supplies (Overhead),Other Operating Supplies (Overhead),Other Operating Supplies (Overhead)
5937-00,Shared Svcs - Professional&Adm,Total Fixed Operating Expense,Other Operating Supplies (Overhead),Other Operating Supplies (Overhead),Other Operating Supplies (Overhead)
5938-00,IEL Shared Services - Marketing & Referral,Total Fixed Operating Expense,Other Operating Supplies (Overhead),Other Operating Supplies (Overhead),Other Operating Supplies (Overhead)
5960-00,AFD Expense,Total Fixed Operating Expense,Other Operating Supplies (Overhead),Other Operating Supplies (Overhead),Other Operating Supplies (Overhead)
8731-00,Tax Penalties.1,Total Fixed Operating Expense,Other Operating Supplies (Overhead),Other Operating Supplies (Overhead),Other Operating Supplies (Overhead)
8731-01,Tax Penalties.2,Total Fixed Operating Expense,Other Operating Supplies (Overhead),Other Operating Supplies (Overhead),Other Operating Supplies (Overhead)
4564-00,Hiring Expense,Total Fixed Operating Expense,Total Hiring Expense,Total Hiring Expense,Driver Hiring Expense
4564-01,Hiring-Hotels,Total Fixed Operating Expense,Total Hiring Expense,Total Hiring Expense,Driver Hiring Expense
4564-02,Hiring-Meals,Total Fixed Operating Expense,Total Hiring Expense,Total Hiring Expense,Driver Hiring Expense
4564-03,Hiring-Clinic Costs,Total Fixed Operating Expense,Total Hiring Expense,Total Hiring Expense,Driver Hiring Expense
4564-04,Hiring-Advertising,Total Fixed Operating Expense,Total Hiring Expense,Total Hiring Expense,Driver Hiring Expense
4564-05,Hiring-Schl Referral Commissio,Total Fixed Operating Expense,Total Hiring Expense,Total Hiring Expense,Driver Hiring Expense
4564-06,Hiring-Transportation,Total Fixed Operating Expense,Total Hiring Expense,Total Hiring Expense,Driver Hiring Expense
4564-07,Hiring-Driver Mentor Program,Total Fixed Operating Expense,Total Hiring Expense,Total Hiring Expense,Driver Hiring Expense
4564-09,Orientation Pay,Total Fixed Operating Expense,Total Hiring Expense,Total Hiring Expense,Driver Hiring Expense
4581-00,Corporate Branding,Total Fixed Operating Expense,Total Hiring Expense,Total Hiring Expense,Driver Hiring Expense
4596-00,Student Driver Loan Collection,Total Fixed Operating Expense,Total Hiring Expense,Total Hiring Expense,Driver Hiring Expense
4596-01,Student Driver Loan Reimb,Total Fixed Operating Expense,Total Hiring Expense,Total Hiring Expense,Driver Hiring Expense
4596-02,Student Drv Loan Reimb Outside,Total Fixed Operating Expense,Total Hiring Expense,Total Hiring Expense,Driver Hiring Expense
4596-03,Student Drv Loan Termed Drv,Total Fixed Operating Expense,Total Hiring Expense,Total Hiring Expense,Driver Hiring Expense
4596-04,Stdnt Drv Loan Termed 3rd Pty,Total Fixed Operating Expense,Total Hiring Expense,Total Hiring Expense,Driver Hiring Expense
4596-05,Student Drv Loan Fees,Total Fixed Operating Expense,Total Hiring Expense,Total Hiring Expense,Driver Hiring Expense
5993-00,Hiring Alloc,Total Fixed Operating Expense,Total Hiring Expense,Total Hiring Expense,Corporate Allocations-Hiring
5430-00,Tractor Lease Expense,Total Fixed Operating Expense,Total Operational Equipment Expense,Tractor Fixed Expense,Tractor Leasing
5430-01,Intercompany Lease Expense,Total Fixed Operating Expense,Total Operational Equipment Expense,Tractor Fixed Expense,Tractor Leasing
5430-02,FV Operating Lease Exp-Tractor,Total Fixed Operating Expense,Total Operational Equipment Expense,Tractor Fixed Expense,Tractor Leasing
5434-00,Tractor Rent - Other,Total Fixed Operating Expense,Total Operational Equipment Expense,Tractor Fixed Expense,Tractor Leasing
4321-00,Depr - Tractor.1,Total Fixed Operating Expense,Total Operational Equipment Expense,Tractor Fixed Expense,Tractor Depreciation
5321-00,Depr - Tractor.2,Total Fixed Operating Expense,Total Operational Equipment Expense,Tractor Fixed Expense,Tractor Depreciation
4323-00,Depr - Carrier Mass Tractor.1,Total Fixed Operating Expense,Total Operational Equipment Expense,Tractor Fixed Expense,Carrier Mass Depr [Tractor]
5324-00,Depr - Carrier Mass Tractor.2,Total Fixed Operating Expense,Total Operational Equipment Expense,Tractor Fixed Expense,Carrier Mass Depr [Tractor]
5111-00,Mobile Communications,Total Fixed Operating Expense,Total Operational Equipment Expense,Tractor Fixed Expense,Mobile Communications-Tractor
4770-00,Veh Lic & Reg Fees - State,Total Fixed Operating Expense,Total Operational Equipment Expense,Tractor Fixed Expense,Tractor Fixed Expense
5431-00,Trailer Lease Expense,Total Fixed Operating Expense,Total Operational Equipment Expense,Trailer Fixed Expense,Trailer Leasing
5431-01,Trailer Rent - Special Equip,Total Fixed Operating Expense,Total Operational Equipment Expense,Trailer Fixed Expense,Trailer Leasing
5431-02,FV Operating Lease Exp-Trailer,Total Fixed Operating Expense,Total Operational Equipment Expense,Trailer Fixed Expense,Trailer Leasing
5432-00,Trailer Rent - Swift Leasing,Total Fixed Operating Expense,Total Operational Equipment Expense,Trailer Fixed Expense,Trailer Leasing
5433-00,Trailer Rent - Other,Total Fixed Operating Expense,Total Operational Equipment Expense,Trailer Fixed Expense,Trailer Leasing
5451-00,Reposition Empty Trailer,Total Fixed Operating Expense,Total Operational Equipment Expense,Trailer Fixed Expense,Trailer Leasing
4322-00,Depr - Trailer.1,Total Fixed Operating Expense,Total Operational Equipment Expense,Trailer Fixed Expense,Trailer & Container Depreciation
5322-00,Depr - Trailer.2,Total Fixed Operating Expense,Total Operational Equipment Expense,Trailer Fixed Expense,Trailer & Container Depreciation
5322-01,Depr - Special Equip,Total Fixed Operating Expense,Total Operational Equipment Expense,Trailer Fixed Expense,Trailer & Container Depreciation
5325-00,Depr - Container,Total Fixed Operating Expense,Total Operational Equipment Expense,Trailer Fixed Expense,Trailer & Container Depreciation
5323-00,Depr - Carrier Mass Trailer,Total Fixed Operating Expense,Total Operational Equipment Expense,Trailer Fixed Expense,Carrier Mass Depr [Trailer]
5111-01,Mobile Communications Trailer,Total Fixed Operating Expense,Total Operational Equipment Expense,Trailer Fixed Expense,Mobile Communications-Trailer
5111-02,Mobile Communications Flatbed,Total Fixed Operating Expense,Total Operational Equipment Expense,Trailer Fixed Expense,Mobile Communications-Trailer
5111-03,Mobile Communication Container,Total Fixed Operating Expense,Total Operational Equipment Expense,Trailer Fixed Expense,Mobile Communications-Trailer
4507-00,Chassis Rental,Total Fixed Operating Expense,Total Operational Equipment Expense,Chassis Fixed Expense,Chassis Fixed Expense
4507-01,Chassis Migrations,Total Fixed Operating Expense,Total Operational Equipment Expense,Chassis Fixed Expense,Chassis Fixed Expense
4508-00,Container Storage.3,Total Fixed Operating Expense,Total Operational Equipment Expense,Chassis Fixed Expense,Chassis Fixed Expense
4576-00,Container Per Diem,Total Fixed Operating Expense,Total Operational Equipment Expense,Chassis Fixed Expense,Chassis Fixed Expense
5500-00,Bldg & Office Equip Rent,Total Fixed Operating Expense,Total Facilities Expense,Building and Other Rent & Depr Expense,Building Operating Rents
5500-60,Font V Blvd-Bldg & Office Equip Rent,Total Fixed Operating Expense,Total Facilities Expense,Building and Other Rent & Depr Expense,Building Operating Rents
5510-00,Building Operating Rent,Total Fixed Operating Expense,Total Facilities Expense,Building and Other Rent & Depr Expense,Building Operating Rents
5510-60,Font V Blvd-Building Operating Rent,Total Fixed Operating Expense,Total Facilities Expense,Building and Other Rent & Depr Expense,Building Operating Rents
5520-00,Office Equipment Rents,Total Fixed Operating Expense,Total Facilities Expense,Building and Other Rent & Depr Expense,Building Operating Rents
5520-01,NTTS Leased Facilities Expense,Total Fixed Operating Expense,Total Facilities Expense,Building and Other Rent & Depr Expense,Building Operating Rents
5410-00,Vehicle Rents with Drivers,Total Fixed Operating Expense,Total Facilities Expense,Building and Other Rent & Depr Expense,Other Rent
5510-01,Drop Yard Rents,Total Fixed Operating Expense,Total Facilities Expense,Building and Other Rent & Depr Expense,Other Rent
5510-02,NTTS Leased Equipment Expense,Total Fixed Operating Expense,Total Facilities Expense,Building and Other Rent & Depr Expense,Other Rent
5310-00,Depr - Bldg & Structure,Total Fixed Operating Expense,Total Facilities Expense,Building and Other Rent & Depr Expense,Facilities Depreciation
5310-60,Font V Blvd-Depr Bldg&Structure,Total Fixed Operating Expense,Total Facilities Expense,Building and Other Rent & Depr Expense,Facilities Depreciation
5330-00,Depr - Svc Car & Equip,Total Fixed Operating Expense,Total Facilities Expense,Building and Other Rent & Depr Expense,Facilities Depreciation
5340-00,Depr - Shop & Garage Equip,Total Fixed Operating Expense,Total Facilities Expense,Building and Other Rent & Depr Expense,Facilities Depreciation
5350-00,"Depr - Furn, Fix, & Equip",Total Fixed Operating Expense,Total Facilities Expense,Building and Other Rent & Depr Expense,Facilities Depreciation
5360-00,Depr - Misc Equip,Total Fixed Operating Expense,Total Facilities Expense,Building and Other Rent & Depr Expense,Facilities Depreciation
5370-00,Depr - L/H Improvements,Total Fixed Operating Expense,Total Facilities Expense,Building and Other Rent & Depr Expense,Facilities Depreciation
4621-01,Non Recurring Building Maint,Total Fixed Operating Expense,Total Facilities Expense,Other Operating & Supplies (Facilities),Other Operating & Supplies (Facilities)
4621-00,Bldg & Facility Maintenance.1,Total Fixed Operating Expense,Total Facilities Expense,Other Operating & Supplies (Facilities),Other Operating & Supplies (Facilities)
4621-60,Font V Blvd-Bldg&Facility Maintenance,Total Fixed Operating Expense,Total Facilities Expense,Other Operating & Supplies (Facilities),Other Operating & Supplies (Facilities)
5531-00,Bldg & Facility Maintenance.2,Total Fixed Operating Expense,Total Facilities Expense,Other Operating & Supplies (Facilities),Other Operating & Supplies (Facilities)
5100-00,Communication & Utilities,Total Fixed Operating Expense,Total Facilities Expense,Utilities,Utilities
5110-00,Communication Expense,Total Fixed Operating Expense,Total Facilities Expense,Utilities,Utilities
5110-01,Local Phone Services,Total Fixed Operating Expense,Total Facilities Expense,Utilities,Utilities
5110-02,Long Distance Phone Services,Total Fixed Operating Expense,Total Facilities Expense,Utilities,Utilities
5110-03,Cellular/Paging Services,Total Fixed Operating Expense,Total Facilities Expense,Utilities,Utilities
5110-04,Data Communications.1,Total Fixed Operating Expense,Total Facilities Expense,Utilities,Utilities
5110-61,Font V Blvd-Local Phone Services,Total Fixed Operating Expense,Total Facilities Expense,Utilities,Utilities
5110-64,Font V Blvd-Data Comms.1,Total Fixed Operating Expense,Total Facilities Expense,Utilities,Utilities
5112-00,Data Communications.2,Total Fixed Operating Expense,Total Facilities Expense,Utilities,Utilities
5120-00,Cable/Satellite & Other,Total Fixed Operating Expense,Total Facilities Expense,Utilities,Utilities
5120-01,Electricity Services,Total Fixed Operating Expense,Total Facilities Expense,Utilities,Utilities
5120-02,Trash Services,Total Fixed Operating Expense,Total Facilities Expense,Utilities,Utilities
5120-03,Water/Sewer Services,Total Fixed Operating Expense,Total Facilities Expense,Utilities,Utilities
5120-04,Gas Services,Total Fixed Operating Expense,Total Facilities Expense,Utilities,Utilities
5120-60,Font V Blvd-Cable/Satellite&Other,Total Fixed Operating Expense,Total Facilities Expense,Utilities,Utilities
5120-61,Font V Blvd-Electricity,Total Fixed Operating Expense,Total Facilities Expense,Utilities,Utilities
5120-62,Font V Blvd-Trash Services,Total Fixed Operating Expense,Total Facilities Expense,Utilities,Utilities
5120-63,Font V Blvd-Water/Sewer,Total Fixed Operating Expense,Total Facilities Expense,Utilities,Utilities
5120-64,Font V Blvd-Gas Service,Total Fixed Operating Expense,Total Facilities Expense,Utilities,Utilities
4613-00,Union Fees - Mexico,Total Fixed Operating Expense,Total Facilities Expense,Other Taxes (Facilities & Other Ops),Other Taxes (Facilities & Other Ops)
4700-00,Operating Taxes & Licenses-,Total Fixed Operating Expense,Total Facilities Expense,Other Taxes (Facilities & Other Ops),Other Taxes (Facilities & Other Ops)
4740-00,Other Operating Tax & License,Total Fixed Operating Expense,Total Facilities Expense,Other Taxes (Facilities & Other Ops),Other Taxes (Facilities & Other Ops)
4750-00,Property Taxes,Total Fixed Operating Expense,Total Facilities Expense,Other Taxes (Facilities & Other Ops),Other Taxes (Facilities & Other Ops)
4750-60,Property Taxes-Fontana,Total Fixed Operating Expense,Total Facilities Expense,Other Taxes (Facilities & Other Ops),Other Taxes (Facilities & Other Ops)
4790-00,Other Taxes - State & Other,Total Fixed Operating Expense,Total Facilities Expense,Other Taxes (Facilities & Other Ops),Other Taxes (Facilities & Other Ops)
4792-00,Business Licenses & Taxes,Total Fixed Operating Expense,Total Facilities Expense,Other Taxes (Facilities & Other Ops),Other Taxes (Facilities & Other Ops)
4999-06,Costco RFR Spotting Alloc,Total Other Expense:,Operational & Corporate Overhead:,Operational Corporate Allocations:,Operational Corporate Allocations:
4999-07,Logistics Corp Alloc,Total Other Expense:,Operational & Corporate Overhead:,Operational Corporate Allocations:,Operational Corporate Allocations:
4999-19,Swift Express Corp Alloc,Total Other Expense:,Operational & Corporate Overhead:,Operational Corporate Allocations:,Operational Corporate Allocations:
5995-00,Owner Operator Corp Alloc,Total Other Expense:,Operational & Corporate Overhead:,Operational Corporate Allocations:,Operational Corporate Allocations:
5996-00,Flatbed Corp Alloc,Total Other Expense:,Operational & Corporate Overhead:,Operational Corporate Allocations:,Operational Corporate Allocations:
5997-00,Grocery Corp Alloc,Total Other Expense:,Operational & Corporate Overhead:,Operational Corporate Allocations:,Operational Corporate Allocations:
5998-00,Dedicated Corp Alloc,Total Other Expense:,Operational & Corporate Overhead:,Operational Corporate Allocations:,Operational Corporate Allocations:
4997-00,Equip Capital Cost Alloc,Total Other Expense:,Operational & Corporate Overhead:,Corporate Allocations-Other:,Corporate Allocations-Other:
4998-00,Capital Cost Allocation,Total Other Expense:,Operational & Corporate Overhead:,Corporate Allocations-Other:,Corporate Allocations-Other:
4999-00,Corp Allocation,Total Other Expense:,Operational & Corporate Overhead:,Corporate Allocations-Other:,Corporate Allocations-Other:
4999-01,Terminal G&A Allocation,Total Other Expense:,Operational & Corporate Overhead:,Corporate Allocations-Other:,Corporate Allocations-Other:
4999-02,Unmanned Trucks Corp Alloc,Total Other Expense:,Operational & Corporate Overhead:,Corporate Allocations-Other:,Corporate Allocations-Other:
4999-03,Trailer Mgmt Corp Allocation,Total Other Expense:,Operational & Corporate Overhead:,Corporate Allocations-Other:,Corporate Allocations-Other:
4999-99,Overhead AOP,Total Other Expense:,Operational & Corporate Overhead:,Corporate Allocations-Other:,Corporate Allocations-Other:
5950-00,Uncollectible Revenue,Total Other Expense:,Operational & Corporate Overhead:,Corporate Allocations-Other:,Corporate Allocations-Other:
5986-00,Swift Refrigerated Corp Allocation,Total Other Expense:,Operational & Corporate Overhead:,Corporate Allocations-Other:,Corporate Allocations-Other:
5991-00,Plan & Cust Svc Alloc,Total Other Expense:,Operational & Corporate Overhead:,Corporate Allocations-Other:,Corporate Allocations-Other:
5991-01,Corp Ops & Canadian,Total Other Expense:,Operational & Corporate Overhead:,Corporate Allocations-Other:,Corporate Allocations-Other:
5992-00,Facilities Alloc,Total Other Expense:,Operational & Corporate Overhead:,Corporate Allocations-Other:,Corporate Allocations-Other:
5994-00,Freight Services Alloc,Total Other Expense:,Operational & Corporate Overhead:,Corporate Allocations-Other:,Corporate Allocations-Other:
