DIV,LOB,GL_CC,Account Nbr,level_1,level_2,level_3,level_4,CTDESC,2024 - 07,2024 - 08,2024 - 09,2024 - 10,2024 - 11,2024 - 12,2025 - 01,2025 - 02,2025 - 03,2025 - 04,2025 - 05,2025 - 06,2025 - 07,2025 - 08,2025 - 09,10
107,17,67,4220-12,Total Variable Operating Expense,"Driver Salaries, Wages and Benefits",Driver Salaries & Wages,Driver Wages Accessorial & Other,Driver Wages - Layover Pay,500,400,,300,"1,900","2,800",500,525,602,"2,000",100,75,300,775,400,
107,17,67,4220-13,Total Variable Operating Expense,"Driver Salaries, Wages and Benefits",Driver Salaries & Wages,Driver Wages Accessorial & Other,Driver Wages - Stop Pay,"12,093","11,851","24,112","18,171","16,658","14,595","17,370","13,848","17,921","16,034","19,193","16,082","13,684","16,130","13,602","1,548"
107,17,67,4220-14,Total Variable Operating Expense,"Driver Salaries, Wages and Benefits",Driver Salaries & Wages,Driver Wages Accessorial & Other,Driver Wages - Sick Pay,,"1,250","2,435","5,141","4,073","2,258","8,319","3,974","10,092","8,311","4,034","6,344","2,412","11,254","10,953",0
107,17,67,4220-15,Total Variable Operating Expense,"Driver Salaries, Wages and Benefits",Driver Salaries & Wages,Driver Wages Accessorial & Other,Driver Wages - Compliance Pay,-835,"1,957",860,"-1,512","1,759",450,-605,"2,120","1,466","1,816",-410,903,"2,175","1,333",493,0
107,17,67,4220-16,Total Variable Operating Expense,"Driver Salaries, Wages and Benefits",Driver Salaries & Wages,Driver Wages Accessorial & Other,Driver Wages - Rest Pay,"6,599","7,442","8,281","7,330","6,393","8,524","6,849","7,958","10,143","8,791","8,591","9,729","7,724","9,809","8,615",-11
107,17,67,4220-17,Total Variable Operating Expense,"Driver Salaries, Wages and Benefits",Driver Salaries & Wages,Driver Wages Accessorial & Other,Driver Wages - Premium Pay,75,-75,100,335,-435,26,-26,,,,,,,,,
107,17,67,4220-30,Total Variable Operating Expense,"Driver Salaries, Wages and Benefits",Driver Salaries & Wages,Driver Wages Accessorial & Other,Driver Wages - Performance Pay,67,,785,"2,028",-528,,"1,045","1,333",,632,,,"1,357",-154,,
107,17,67,4220-32,Total Variable Operating Expense,"Driver Salaries, Wages and Benefits",Driver Salaries & Wages,Driver Wages Accessorial & Other,Driver Bonuses,"3,638","5,702","7,054","4,925","2,275","3,534","4,443","4,575","5,551","2,723","6,189","8,386","7,862","7,588","7,757",-515
107,17,67,4400-00,Total Variable Operating Expense,"Driver Salaries, Wages and Benefits",Driver Salaries & Wages,Driver Wages Accessorial & Other,Other Fringes,136,27,227,169,-373,733,-375,50,-46,338,-206,162,-367,234,302,
107,17,67,4410-00,Total Variable Operating Expense,"Driver Salaries, Wages and Benefits",Driver Benefits,Payroll Taxes Drv,Federal Payroll Taxes - Driver,"26,436","27,484","24,977","34,578","25,680","27,928","29,971","27,880","30,119","26,622","30,392","33,253","28,732","30,775","30,847","-8,814"
107,17,67,4411-00,Total Fixed Operating Expense,"Non-Driver Salaries, Wages and Benefits",Non-Driver Benefits,Payroll Taxes NonDrv,Federal Payroll Taxes - NDRV,"2,861","1,940","1,781","1,959","2,451","2,229","4,631","2,643","2,446","3,350","2,765","2,792","2,658","2,464","2,512","5,917"
107,17,67,4420-00,Total Variable Operating Expense,"Driver Salaries, Wages and Benefits",Driver Benefits,Payroll Taxes Drv,State Payroll Taxes - Driver,-94,-69,-129,-184,-124,-212,"4,942","1,433",961,881,850,780,725,752,627,-729
107,17,67,4421-00,Total Fixed Operating Expense,"Non-Driver Salaries, Wages and Benefits",Non-Driver Benefits,Payroll Taxes NonDrv,State Payroll Taxes - NDRV,"1,097","1,050","1,298","1,630","1,866","2,408","-1,731",152,95,96,91,77,88,73,64,2
107,17,67,4430-00,Total Variable Operating Expense,"Work Comp and Claims, Drv","Work Comp Claims Less Than $250,000 Drv","Work Comp Claims Less Than $250,000 Drv",Work Compensation Claim-Driver,,,,"13,000","10,000","7,500","2,298",,0,,,"-5,622",,,"7,564",
107,17,67,4430-01,Total Variable Operating Expense,"Work Comp and Claims, Drv",Work Comp Premiums and Allocations Drv,Work Comp Premiums and Allocations Drv,Work Compensation Prem-Driver,851,"1,305","1,494","1,540","1,537","1,525","1,535","1,601","2,003","1,870","1,904","1,919","1,390","1,342","1,342",
107,17,67,4430-03,Total Variable Operating Expense,"Work Comp and Claims, Drv",Work Comp Premiums and Allocations Drv,Work Comp Premiums and Allocations Drv,Work Comp Excess Alloc-Driver,,,,,,,,,"-109,527",,741,"-3,471","7,069","-2,785","-14,372",
107,17,67,4431-01,Total Fixed Operating Expense,"Work Comp and Claims, NonDrv",Work Comp Premiums and Allocations NonDrv,Work Comp Premiums and Allocations NonDrv,Work Comp Premiums-NDRV,,,0,,,,,,,,,,,,,
107,17,67,4440-00,Total Variable Operating Expense,"Driver Salaries, Wages and Benefits",Driver Benefits,Group Health Insurance Drv,Group Health Insurance-Driver,,,0,0,0,0,0,0,"20,054",,"21,602","24,361","28,935","24,140","28,835",
107,17,67,4441-00,Total Fixed Operating Expense,"Non-Driver Salaries, Wages and Benefits",Non-Driver Benefits,Group Health Insurance NonDrv,Group Health Insurance-NDRV,"1,793","1,976","2,512","1,772","1,552",-434,"1,452","2,095","1,940","2,644","2,201","2,588","3,227","2,720","3,164",
107,17,67,4450-00,Total Variable Operating Expense,"Driver Salaries, Wages and Benefits",Driver Benefits,Pension & Retirement Drv,Pension/Retirement Plan-Driver,"15,425","4,936","6,722","1,926","2,749","10,814","9,451","6,997","3,440","11,641","3,081","5,870","6,138","5,381","4,444","-58,192"
107,17,67,4451-00,Total Fixed Operating Expense,"Non-Driver Salaries, Wages and Benefits",Non-Driver Benefits,Pension & Retirement NonDrv,Pension/Retirement Plan-NDRV,"1,769",746,672,899,-94,515,500,723,867,846,921,"1,071",994,"1,038",989,"-8,093"
107,17,67,4500-00,Total Fixed Operating Expense,Other Operating Supplies (Overhead),Other Operating Supplies (Overhead),Other Operating Supplies (Overhead),Operating Supplies & Expenses,,,"-14,200",,,,,,,,,,,,,
107,17,67,4510-00,Total Variable Operating Expense,Fuel Expense,Fuel Expense,Fuel Expense,Fuel Expense,"221,524","254,467","258,955","253,316","223,419","224,850","222,190","216,307","237,516","233,061","271,340","275,285","290,197","291,322","306,596","131,439"
107,17,67,4510-02,Total Variable Operating Expense,Fuel Expense,Fuel Expense,Fuel Expense,Fuel Rebates,"-1,562","-1,357","-2,127","-1,615","-1,516",-444,-379,"-1,033","-2,161","-1,092","-1,725","-2,959","-2,536","-2,115","-1,533",
